,User,Location
199,KevinZa15959567,
200,i11DAO,
201,Sanfer30_,
202,JohnnBack,NARColombia - Palestina🇵🇸
203,Mayo_Hemelson,"Quibdó, Colombia"
204,nikovive,Cali Colombia
205,lizeth_tuta,
206,ManosLimpiasCo,#CongresoCorrupto
207,PaulaAHR, 📍Bogotá
208,Davidrkrapula,www.davidkawooq.com
209,AlejandroCobo2,"Jamundi, valle, colombia"
210,MaraCamilaGil4,"Barrancabermeja, Colombia"
211,Andres_M006,"Soacha, Colombia"
212,SEMCordoba,"Bogotá, D.C., Colombia"
213,rugeparticipa,
214,Erick_SanVargas,
215,NENI06_92,"Bogotá, Colombia"
216,Isabel_Fajardo3,La patria grande
217,ivancamilodavil,"Bogotá D.C., Colombia"
218,SantaParanoica,"Palmira, Colombia"
219,paolaorozco26,Bogotá
220,rootboyguitar,
221,humana_red,Colombia
222,to_domal,Colombia
223,j0s4p3,"Medellín, Colombia"
224,LiliCastanedaM,"Bogotá, Colombia"
225,gourmandmed,"Medellín, Colombia"
226,Luisa_7v7r,Bogotá- Colombia
227,mauriciod,
228,Orlandogomezgom,
229,aeternalux_,"Medellín, Antioquia"
230,Daniela91669309,"Cali, Colombia"
231,luzmi85486713,"Cali, Colombia"
232,BobasLas,
233,ElconceptoB,"Bogotá, DC, Colombia"
234,Metup,
235,ImHereForNaomi,
236,Masizo77,Armenia-Quindio
237,Credhos_Paz,BARRANCABERMEJA
238,stev1927,
239,EducalSindicato,Manizales
240,Juandatorres24,"Bogotá, D.C., Colombia"
241,StevenRodriigez,
242,jorgeisaac342_,Colombia
243,BohorquezPablo,Bogota
244,Danperzv,"Medellín, Colombia"
245,Oscar_Carcedo,
246,AlexisCardonaun,"Bogotá, D.C., Colombia"
247,FUNComisiones,Colombia
248,SantyClap,
249,AndresilvaRF,Santiago de Cali
250,jordonezachury,Bogotá-Colombia
251,bluehell_01,"Bogotá, D.C., Colombia"
252,momo_tatiana,
253,DuglasPulgarin,Colombia
254,Tatiana9108,
255,GarzonUnal,"Bogotá, Colombia"
256,CaroNazin,Colombia
257,SoloMike__,Bogotá - Colombia
258,Ivan_Ducales,
259,daab36,Colombia
260,CSIFnacional,
261,ElGaitan9,
262,PoloDemocratico,Colombia
263,Jesustafur16,
264,1012benito,
265,bangtanhikari,bl couples ♥️ ATEEZ PRESENT 💙
266,proajaen,"Mengíbar, España"
267,Chajinero,"Barranquilla, Colombia. "
268,Maitri_Psico,
269,juanmacduque,"ÜT: 10.415931,-75.553406"
270,sindychris,Medellín
271,caros1010,
272,TheSuperBoring,Paracolombia. 
273,JotaSolanoTorre,#KajitaDeArena™
274,SrWeedCol,"Medellín, Colombia"
275,BarriosDency,
276,Michaelbedoya12,Colombia
277,cuestion_p,Colombia
278,Col_Informa,Colombia
279,arleycori,"Cali, Colombia"
280,GiovanniPaez,"Tunja, Boyacá, Colombia"
281,materocom,Venezuela 🇻🇪 🇻🇪 
282,cerosetenta,Bogotá-Colombia
283,Kara_2608,manizales
284,MrJuanJimenez,"Pereira, Colombia"
285,Romero_reinel,"Bogotá, D.C., Colombia"
286,felojazzsax,"Bogotá, Colombia"
287,jcborreroc,Colombia
288,ONUHumanRights,Colombia
289,Lafebr30,"Manizales, Colombia"
290,FrancoYate,
291,yovanotti,
292,juanmartinbc,Cali
293,ernestjaramillo,Colombia
294,Sofia16_,Pereira 
295,Avilla719,
296,jhanjaco,Bucaramanga 
297,CaJuMoPal,Villavicencio
298,__candelita__,🏳️‍🌈
299,DaniHernandeR,Villavicencio
300,Chikarudibuja,
301,criticopolombia,Polombia
302,e_wgb5,"Cartagena, Colombia"
303,JuanMunozOspina,"Manizales, Colombia"
304,catamaterile,"Bogotá, D.C., Colombia"
305,tian1841j,"Bogotá, D.C., Colombia"
306,PirryEnPelota,
307,puli_alex,♥Bogotá D.C♥
308,Paezalejn,"Bogotá, Colombia"
309,LauAragon95,"La Sucursal Del Cielo, CLO."
310,DValentinaA11,
311,lmartinezv,Popayan (Colombia)
312,RedAbuso,"Bogotá, D.C., Colombia"
313,elianau1022,"Medellín, Colombia"
314,Amm14j,
315,LicenciadoKmilo,"Bogotá, Colombia."
316,Karinaytimoteo,
317,CamilaRuedaR,
318,designante,🏳️‍🌈
319,Pacaletosa,Metrallo
320,mediareduy,Uruguay
321,ldiazh99,
322,RosesGTS,
323,RedhusBta,
324,johnsebitass,Colombia
325,AndressGarciaG,"Medellín, Colombia"
326,alejomay1988,santiago de cali 
327,andreaustate1,"Bucaramanga, Colombia"
328,MLibresCali,
329,cfunivalle,Colombia
330,Stonewall_PUJ,"Bogotá, D.C., Colombia"
331,MompoxSocial,"Mompós, Colombia"
332,DannaKatzenbach,"Cali, Colombia"
333,djwildcali,"cali,colombia"
334,karelsolei,"Madrid, Comunidad de Madrid"
335,lorenzomorales,
336,Suge79770074,"Cali, Colombia"
337,JD_CD,"Sincelejo, Colombia"
338,juliandavud,
339,PortenoRVB,"Valle del Cauca, Colombia"
340,antioquiampv,"Antioquia, Colombia"
341,ColoresMari,
342,andresf2385,Cali - Colombia
343,sintraim,
344,Pacifistacol,Colombia
345,DemagogiaVs,España
346,srnestorteto,"Ibagué, Colombia"
347,DeibyCabrera31,"Tunja, Colombia"
348,UniversoCentro,Medellín
349,EdmundoLoGu,Bogotá
350,FelRuge,
351,ajcalzado,"Ciudad Real, España"
352,lufergia,Colombia
353,GutierrezKetty,Colombia
354,WILLIAMBORJASAL,"Barranquilla, Colombia"
355,RollingStoneCol,Colombia
356,julboh,
357,ArizaWillington,Barranquilla  para el mundo 
358,Fegdinand,"Cali, Colombia"
359,hellmand10,"Timbío, Colombia"
360,HectorOlarte13,
361,obsurdhuila,Neiva -Huila-
362,LuisGabrielAlo5,
363,AndresPm007,"La Jagua De Ibirico, Cesar - C"
364,Negriet,Swerve City
365,EddJag,"Cali, Colombia"
366,YosoylinaA,
367,anabelmandinga3,Venezuela 
368,monicali26,Santiago de Cali  ♥
369,Mile06426923,"Colombia, mi tierra querida"
370,andrescvalencia,Manizales
371,SoyCuervoRuben,"Manizales, Colombia"
372,athemayst,Con la Paz con Justicia Social
373,Contagioradio1,Colombia
374,Justiciaypazcol,"Bogotá, Colombia"
375,antoniobarrio14,
376,RelatoMigrante,Cartagena de Indias 
377,Nelsonalarcon74,
378,EscorpionXCO,Entre Bucaramanga y Bogotá
379,ElPortavozz,
380,IdontPayfoWear,Bogotá 
381,cesarhmarinp,Colombia
382,Tresojos666,
383,ZuluagaCeron,
384,fuelsmicroalgae,Germany
385,LigaNoSilencio,Colombia
386,juangarf,"Bogotá, D.C., Colombia"
387,melo2teach,
388,hharoldsteven,Jupiter
389,dansanchbal,
390,maravilhion,
391,HRI_ONG,Las Americas
392,anelimescrit,
393,MiguelI49129341,Colombia
394,SLpiensaMas,
395,Intensa66397835,
396,achaycharrua,
397,veeduriaesmad,
398,MisuzuTomoya,
399,CaroNarvaezP,"Armenia, Colombia"
400,GoleadoresFC,"Ibagué, Colombia"
401,PazProgreso,Colombia
402,ElChapinPrensa,Bogotá D.C.
403,HarolNieto,"Bogotá, D.C., Colombia"
404,FatimaMG,"Bogotá, D.C., Colombia"
405,leokintero99,
406,ChristianALenis,
407,YhonierB,"Cali, Colombia"
408,miltonsilvaPC,"Bogotá, D.C., Colombia"
409,Dagosa20,"Cali, Colombia"
410,FrancoT1967,
411,lasillavacia,Bogotá
412,AnaCalvo19,"Riells i Viabrea, España"
413,TembloresOng,"Bogotá, D.C., Colombia"
414,AnaErazoR,
415,FLazosDignidad,Colombia
416,digitalsaurio,
417,JCamiloPortelaG,
418,532sierra,Colombia
419,JBueno1975,Bogotá-Colombia
420,ConpazCol_,Colombia
421,RSaulhernandez,"Valle del Cauca, Colombia"
422,camilogvillegas,Colombia/España
423,h_riverad,"Bogotá, D.C., Colombia"
424,alternoso,Bogotá
425,dannybalanta,"Cali, Colombia"
426,HiPeoplePeople,Italia
427,Martix_AL,España
428,andresolaya5,Ibague - Colombia
429,JavierHeroe,Cali
430,Anamariapaba25,Colombia
431,AlejandraTatis4,Colombia
432,AndreLora_,
433,RenePerle,Planeta Tierra
434,inviable28,
435,AngelBetorio28,"Tonalá, Jalisco"
436,soydicharachero,Acá los cerros tienen ventanas
437,SanchezCaicedoC,Colombia
438,Clashmedia_,LATAM
439,ComunesOcc,Suroccidente Colombiano
440,cmzp,"Cali, Colombia"
441,ManifiestaMedia,"Bogotá, D.C., Colombia"
442,kamikasgris,
443,circoguatemala,Guatemala
444,PatriItalyBlue,Argentina
445,comunero1871,
446,SergioA44941559,
447,TheStonersLaw,"Lima, Peru"
448,amccol,"Medellín, Colombia"
449,ASPAPROS,España
450,CINEP_PPP,Colombia 
451,alexmiami0105,Munro/Miami /Ibiza /Namur
452,alejoocampog,Cali
453,KevinSizaI,"Bogotá, D.C., Colombia"
454,elescorpiano76,Argentina🇦🇷
455,CatalinaM_MDQ,"Mar del Plata, Argentina"
456,SaidVergel_A,"Washington, DC"
457,Claramind,Rosario
458,ignaziololo1, PILAR-BUENOS AIRES-ARGENTINA 
459,emigbusquet,Argentina
460,KenParkQ,
461,MSanarg,
462,Ciclose,La Libertad
463,FotografoGus1,
464,Rodvel_,
465,2tucotuco,"Albuquerque, NM"
466,menchapin,
467,DannyValiente4,
468,luna_sandia88,En algun lugar de un gran país
469,SBHernandezZ,Guatemala 
470,UnCapucho,
471,GArchain,Donde vos quieras...
472,CrisCastello01,No polemizo
473,DraAVN,Buenos Aires
474,LaraScheffler1,"Entre Ríos, Argentina"
475,Senadoesp,
476,pcaparros,SPDM
477,eSPAINews,España 🇪🇦
478,PRLInnovacion,Madrid
479,DavidCfd,Cornellà de Llobregat
480,DIANNITANAVARRO,BOGOTÁ 
481,maytemisast,Cali Colombia
482,SintholNacional,
483,pachogana,"Bogotá, D.C., Colombia"
484,pablo96720949,en los brazos de madre tierra 
485,DanielBasto1997,"Bogota, Colombia"
486,DanielaOC0511,"Cali, Colombia"
487,Davidrodriigez,
488,Andy_FV182,"Cali, Colombia"
489,perez01012019,
490,jonathancongres,Centro Oriente- Colombia
491,usofrenteobrero,Barrancabermeja- Bogotá 
492,Dayana_Reales,
493,7NNoticias,Colombia
494,mavillacol,"Medellín, Colombia"
495,emcamposr,colombia
496,negrete_perez,cartagena-colombia
497,momento24co,Bogotá - Colombia
498,destiladero,"Bogotá, D.C., Colombia"
499,crisfonsisan,
500,Sintracarcol,Colombia
501,AisoMovimiento,Colombia
502,AngelicaP8205,"Bogotá, D.C., Colombia"
503,sintraelecolnac,Bogota D.C
504,damagofe,Barrancabermeja 
505,vallerelax,"Cali, Colombia"
506,andrescisf2013,"Bogotá, D.C., Colombia"
507,ENSColombia,"Medellín, Colombia"
508,ColombiacomTW,Colombia
509,luisalunar22,"Bogotá, D.C., Colombia"
510,heidy_up,"BOGOTA, COLOMBIA"
511,jimmyanjel,Ahora en cualquier lugar..ahí
512,cacrosferro,Pereira
513,pedroferneyc,colombia
514,JJulianVivas,"Bogotá, D.C., Colombia"
515,_Juan_David_A,"Santa Marta, Colombia"
516,mariafelinaa,"Bogotá, D.C., Colombia"
517,ODaniel_Zarate,"Bogotá, Colombia"
518,donadolforivas,"Bogotá, D.C., Colombia"
519,fernando1836,
520,danissaolaya,"Madrid, Colombia"
521,DiazFabian001,BOGOTA COLOMBIA
522,zevaztiancortes,"Bogotá, D.C., Colombia"
523,Una_id10ta_mas_,
524,Ana_Virviescas,
525,VaselinaMental,Politicamente incorrecto
526,MlSTERPig,
527,DdhhMesa,
528,JUANCAELBROKY,Colombia
529,RomanoEspartaco,
530,comunicauca,
531,sharepunks,
532,NanitaKiddo,Verdad
533,AlexDenker47,Colombia
534,critico_espacio,
535,_VientoSolar_,"Barranquilla, Colombia"
536,eduardsarmiento,Zipaquirá  / Colombia
537,Juventud_Humana,Colombia
538,otrojaviermas,
539,CanizSB,"Bogotá, DC, Colombia"
540,PortalPolemos,"Lima, Peru"
541,jimenez9701,"Cali, Colombia"
542,Juanchixx__,
543,alexa_deleon92,"Neiva, Colombia"
544,T3ng0H4mbr,
545,GeorgePolanco17,
546,Canal1Colombia,Colombia
547,PuraCarretaPod,Colombia
548,seisdanielas,
549,KheGonosheat,Planeta Saturno
550,Juanmanglar,"Bogotá, D.C., Colombia"
551,18danit,Tu corazon
552,benkoscaicedo,Colombia
553,deisycardozo27,Colombia
554,SaraMierYTeran,
555,qmoncaleano,América
556,lambidiestra,
557,juanzasu59139,
558,DiegoVi88673004,"Cali, Colombia"
559,Andysinisterra,Santiago de Cali
560,MutanteOrg,"Bogotá, D.C., Colombia"
561,medinaran,
562,emmaentinta,Colombia
563,carlitos79_10,"Bogotá, D.C., Colombia"
564,GeorgeCaldera11,Algún lugar en el bosque
565,pauula0722,"Madrid, Comunidad de Madrid"
566,ibm1955,
567,des_astrum,
568,EdwinJu7,Cualquier lugar.
569,JoanOsorioCol,"Cali, Colombia"
570,SalomnM,"Villavicencio, Colombia"
571,Erickmontes1997,"Bogotá, D.C., Colombia"
572,NohraHeredia,
573,radiosupercali,Cali - Valle
574,guarapiitx,Maricolandia 
575,AvellaCorrea,
576,karentoroa,Quito📍Ecuador
577,marulojose,"Medellín, Colombia"
578,malkademia,
579,JENNJGP,"Cali, Colombia"
580,maicol_co12,Popayán
581,Asoprudea,"Medellín, Antioquia"
582,EIBUdeA,Medellín
583,Cardenas_4,Cali - Colombia 
584,PeriodicoIR,"Barrancabermeja, Colombia"
585,escritos_ft,
586,pemiber,
587,sebmancera,
588,JOHNALEX18,Colombia
589,OSCARCUELLAR,"Pitalito, Colombia"
590,Diepriro,
591,DronevisionCo,"Georgia, USA"
592,HHsotelo27,"Cali, Colombia"
593,alemanjarres08,"Madrid, Colombia"
594,LawNiel,"Bogotá, D.C., Colombia"
595,SallySuprstar,In your mind
596,BryanTheCaly,Las Rozas Madrid España
597,Daria_LaMaracx,"Quito, Ecuador"
598,pandong_,
599,MayiAlvarez_,"Buenos Aires, Argentina"
600,vic_ramirezp,"Pereira, Colombia "
601,RQuimbell,Colombia
602,GMaryory1,
603,AzraipOficial,Colombia
604,concejalflower,"Cali, Colombia"
605,AlianzaSta,
606,RevistaElClavo,"Cali, Colombia"
607,Teusaradio,Bogotá
608,Fernanda_140416,"Bogotá, D.C., Colombia"
609,andresf39895817,
610,Mercadoguitar,"Pereira, Colombia"
611,Nekk_2009,
612,jeivertapia,Colombia - Cauca - Popayán
613,LacrudaRj,"Manizales, Colombia"
614,MateoIsazaG,"Medellín, Colombia"
615,ronald_yeferson,"Ibagué, Tolima"
616,Juanalvarez15,Colombia
617,HeinerGaitan,"Soacha, Colombia"
618,MariaAl48589401,Colombia
619,AngelaPerversa,"Arkansas, USA"
620,cureluque,ARGENTINA
621,Paorojasd,Colombia 
622,GaboPadilla8,
623,JeNa_2021,
624,erickaisabelbf,
625,jennyli11,
626,Bryan120594,Bogotá
627,IvonnetTapia,Mosquera
628,Ladelasjirafas,Bogota.
629,echelecabeza,
630,JuanSeveroF,"San Francisco, Córdoba "
631,Resistenciamul1,
632,BaudoAP,"Pereira, Colombia"
633,aliuxfr,
634,FLIP_org,Colombia
635,De_LaCantuta," Sur de Bolivar, Col🇨🇴 LatAm"
636,S4r4YM0nr01,Colombia
637,Marcela43808844,
638,pecashija,"Bogotá, D.C., Colombia"
639,leorpach,
640,Felipeocampo71,"Manizales, Colombia"
641,SieNathalia,Bogota
642,BolanosTruque,
643,MarthinD_avila,"Bogotá, Colombia "
644,Sthefany0225,
645,Cindykat90,
646,SINOLVIDO,Colombia
647,jjmoralestv,Cali Colombia
648,CNA_Colombia,Colombia
649,OcampoComenta,
650,12345dubalier,"Valledupar, Colombia"
651,DirInves_FULL,"Bogotá - Cartagena, Colombia"
652,RobynsonJ,Bogotá
653,vivaciudadania,
654,SergioF43189948,
655,AntonioSanguino,"Bogotá, Colombia"
656,JamesOsorio,"Medellín, Colombia"
657,Richardbautis7a,"Bogotá, D.C., Colombia"
658,Catalizate,"Bogotá, Colombia"
659,AnaBejaranoRG,
660,CODHESColombia,Colombia
661,Dejusticia,"Bogotá, Colombia"
662,JavierDAstu,"Palmira, Colombia"
663,ShekoPC,Polombia
664,agustinduranLA,"Los Angeles, CAlifornia."
665,nasapaisa,
666,Cali24Horas,Santiago de Cali
667,DAlbancando,"Ambato, Ecuador"
668,Laura_Herrera,
669,juandalonso2014,
670,ManuelGarzon27,
671,ElprofeJhon_,"Palmira, Colombia"
672,MovimientoMAIS,Colombia
673,Vamosaluchar20,
674,JorgeGomezG_,"Antioquia, Colombia"
675,sindicalismoIn,
676,APopularSRO,
677,lauramirezcast,"Bogotá, D.C., Colombia"
678,VeraNRueda1,COLOMBIA
679,lauracastella1,"Madrid, España "
680,FontibonSomosT,Fontibón
681,LuisaRi17935173,
682,carolinacaxtro,"Bogotá, DC, Colombia"
683,ZituFabian,"San Carlos de Bariloche, Argen"
684,juguitodecorozo,"Bogotá, D.C., Colombia"
685,Bonny_Bonitha,El Salvador
686,juanjomedinam_,Colombia
687,FLAKMOLINA,"Bogota, Colombia"
688,alejalesmes1,
689,calihumano,
690,SapCgt,
691,hausfree,
692,RedactoresNewsw,Bogota
693,LaCombariza,Colombia
694,andreporfavor,"Bogotá, Colombia"
695,OmiCaricaturas,
696,GStephaniezg17,
697,sergiortegaz,Colombia
698,JuvREBELDE,Colombia
699,unanacondalegre,Far Far Away 
700,RockerFighter,Colombia
701,angelic269,Colombia
702,AntonietaCano,"Bogotá y Manizales, Colombia"
703,Boteromarita,
704,BLeoaguilar,Tocancipá
705,Jonathan_M_L,
706,powergirl1000,
707,Aurelianolatino,Dogville y Bogotá
708,kingdom_wilson,COLOMBIA
709,8vBW1GrXemTS02z,"La Belleza, Colombia"
710,GeneralParo,
711,camigalan,"Bogotá, D.C., Colombia"
712,CasAmericas,"La Habana, Cuba"
713,YohaSuspended,
714,Celticpunx2,
715,elchanchicito,Nepal
716,LabradaNereyda,La Habana
717,manuelarrietaa,"Bogotá, D.C., Colombia"
718,lupaniaguab,"Bogotá, D.C., Colombia 🇨🇴 "
719,NikiSalome,"Bogotá, D.C., Colombia"
720,slnathaly,
721,LuchoEscobar3,VILLAVICENCIO COLOMBIA
722,MtmNicolas,"Caracas, Venezuela"
723,serranonat__,"Barranquilla, Colombia"
724,BrianDi25525362,
725,PsAVisualMedia,LItorsfera ESxCLA-vIsADA
726,LizethValbuena6,"Pereira, Colombia"
727,JessAlbeiroZul1,"Santa Rosa de Cabal, Colombia"
728,soysionista,Colombia
729,BotonZapato,
730,DefensoriaCol,República de Colombia
731,UDLAEcuador,"Quito, Ecuador"
732,CampesinosColom,Colombia
733,SeguridadCali,"Cali, Colombia"
734,MP_Jime_Car,
735,ec_estu,Colombia
736,juvenalga2018,COLOMBIA
737,JeanCar21371098,"Santa Marta, Colombia"
738,docratex,Colombia
739,rubenlozano530,.CO
740,CutAntioquia,Antioquia
741,JulinkAriza,"Bogotá, D.C., Colombia"
742,davidj_GM,"Pereira, Colombia"
743,keadlob4,"Cúcuta, Colombia"
744,CutSantander,
745,RamirezAnllel,A la Izquierda
746,McLitosOficial,
747,henyerhuriza,"Villavicencio, Colombia"
748,sj_augusto,
749,camlala_mc04,"Santa Marta, Colombia"
750,DANIELZEA,MEDELLIN
751,ManuelDelborneo,Norte de Caracas.
752,Ladelperro,Medellín
753,CamilaZarateZ,Valparaíso
754,cayomur,"10.036558,-73.233494"
755,juan90e1,tu mama xd
756,ZtebenZoacha,Bogotá
757,CherrybombJe,
758,HogaresEb,Barquisimeto Estado Lara
759,M_somosveLara,Barquisimeto 
760,BoyacaEsNoticia,"Tunja, Boyacá Colombia"
761,AhhhhhMarico,
762,RodriguezChao,Lugo
763,solracram,
764,RYamSXZ9,"Bogotá, D.C., Colombia"
765,PrensaUney,"San Felipe, Venezuela"
766,yessancris,Zootopia 
767,SurCristobal,"Soacha, Colombia"
768,SergioComunes,Bogotá D.C
769,DEEJAYCR,Colombia
770,vicpenr,
771,cyberrastafari,Colombia
772,marcepa2011,Panama
773,sobredo_sis,Palomino guajira
774,Alejandro_Ce,"Bogotá, DC, Colombia"
775,TUKANAL,"Cúcuta, Colombia"
776,JartoYa,Ciudadano del Mundo
777,daanielash,
778,StefanyAndreaM1,
779,UnJuanLozano,Bogotá Colombia
780,Descualquierada,La tierra del olvido 
781,HarimPotter,Colombia
782,GPTW_Spain,Madrid
783,jerojasrodrigue,Colombia
784,AntiuribistaSoy,
785,FIP_AL,"Buenos Aires, Argentina"
786,___hacm,Andrómeda
787,Ying_del_sur,"Ipiales, Colombia"
788,lermus_c,
789,LorePT341,
790,Ardilanolulle,"Boston, NY"
791,Malenasauria,
792,SandinoVictoria,Colombia
793,FaridComun,"Bogotá, D.C., Colombia"
794,gustavorsm,"Cali, Colombia"
795,CGustavoPeSa,"Ibagué, Colombia"
